Name ImageFile	Set	ImageFile	Set #	Type	Stage	HP	Weakness	Resistance	Retreat Cost	Rarity	Text
Regigigas XYBSP 82	XYBSP	XYBSP_082	#082	Colorless	Basic	130	Fighting x2		4	Promo	Ability: Earthen Awakening. Whenever you attach an Energy card from your hand to this Pokemon, heal 20 damage from it. | [C][C][C][C] Gigas Punch: 100 damage. Flip 2 coins. If both of them are tails, this attack does nothing.
Arceus XYBSP 83	XYBSP	XYBSP_083	#083	Colorless	Basic	120	Fighting x2		2	Promo	[C] Gather Light: Move as many Energy as you like from your Benched Pokemon to this Pokemon. | [C][C][C] Judgment Blast: 10+ damage. This attack does 30 more damage for each different type of basic Energy attached to this Pokemon.
Pikachu-EX XYBSP 84	XYBSP	XYBSP_084	#084	Lightning	Basic (EX)	130	Fighting x2	Metal -20	1	Promo	[C] Iron Tail: 30x damage. Flip a coin until you get tails. This attack does 30 damage times the number of heads. | [L][C][C] Overspark: 50x damage. Discard all [L] Energy attached to this Pokemon. This attack does 50 damage times the number of Energy cards you discarded. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Hoopa-EX XYBSP 85	XYBSP	XYBSP_085	#085	Psychic	Basic (EX)	140	Psychic x2		2	Promo	[P] Hyperspace Ring: Search your deck for up to 2 Item cards, reveal them, and put them into your hand. Shuffle your deck afterward. | [P][P][P] Wonder Trick: 100 damage. Your opponent switches his or her Active Pokemon with 1 of his or her Benched Pokemon. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Mega Blaziken-EX XYBSP 86	XYBSP	XYBSP_086	#086	Fire	Mega - Blaziken-EX	210	Water x2		2	Promo	When 1 of your Pokemon becomes a Mega Evolution Pokemon, your turn ends. | [R][R][C][C] Moonsault Blaze: 100 damage. During your next turn, this Pokemon's Moonsault Blaze attack does 100 more damage (before applying Weakness and Resistance). | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Mega Swampert-EX XYBSP 87	XYBSP	XYBSP_087	#087	Water	Mega - Swampert-EX	220	Grass x2		3	Promo	When 1 of your Pokemon becomes a Mega Evolution Pokemon, your turn ends. | [W][W][C][C] Strongarm Impact: 130+ damage. You may do 30 more damage. If you do, discard the top 3 cards of each player's deck. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Chespin XYBSP 88	XYBSP	XYBSP_088	#088	Grass	Basic	60	Fire x2		2	Promo	[G][C] Vine Whip: 30 damage.
Pikachu XYBSP 89	XYBSP	XYBSP_089	#089	Lightning	Basic	60	Fighting x2	Metal -20	1	Promo	[L] Thunder Wave: Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed. | [L][C][C] Electric Ring: 30+ damage. If Hoopa is on your Bench, this attack does 30 more damage.
Hoopa XYBSP 90	XYBSP	XYBSP_090	#090	Psychic	Basic	70	Psychic x2		1	Promo	[C] Summoning Draw: If Pikachu is on your Bench, draw 3 cards. | [P][C][C] Double Spin: 30x damage. Flip 2 coins. This attack does 30 damage times the number of heads.
Champions Festival XYBSP 91	XYBSP	XYBSP_091	#091		Trainer - Stadium					Promo	Once during each player's turn, if that player has 6 Pokemon in play, he or she may heal 10 damage from each of his or her Pokemon. | This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card.
Sableye XYBSP 92	XYBSP	XYBSP_092	#092	Psychic	Basic	70			2	Promo	Ancient Trait: Theta Stop. Prevent all effects of your opponent's Pokemon's Abilities done to this Pokemon. | [P] Energy Hunt: Flip 3 coins. For each heads, attach a basic Energy card from your discard pile to your Benched Pokemon-EX in any way you like. | [C][C] Claw Slash: 20 damage.
Celebi XYBSP 93	XYBSP	XYBSP_093	#093	Grass	Basic	70	Fire x2		1	Promo	Ancient Trait: Theta Stop. Prevent all effects of your opponent's Pokemon's Abilities done to this Pokemon. | Ability: Leap Through Time. When this Pokemon is Knocked Out, flip a coin. If heads, shuffle this Pokemon and all cards attached to it into your deck, and your opponent can't take any Prize cards for it. | [G] Sparkle Motion: Put 1 damage counter on each of your opponent's Pokemon.
Trevenant XYBSP 94	XYBSP	XYBSP_094	#094	Psychic	Stage 1 - Phantump	110	Darkness x2	Fighting -20	3	Promo	Ability: Nervous Seed. As long as this Pokemon is your Active Pokemon, the attacks of your opponent's Basic Pokemon cost [C] more. | [P][C][C] Energy Press: 70+ damage. This attack does 10 more damage for each Energy attached to your opponent's Active Pokemon.
Pikachu XYBSP 95	XYBSP	XYBSP_095	#095	Lightning	Basic	60	Fighting x2	Metal -20	1	Promo	[C] Let's Eat Together: Heal 30 damage from both Active Pokemon. | [L][C] Quick Attack: 10+ damage. Flip a coin. If heads, this attack does 20 more damage.
Umbreon XYBSP 96	XYBSP	XYBSP_096	#096	Darkness	Stage 1 - Eevee	100	Fighting x2	Psychic -20	2	Promo	[D][C] Mach Claw: 30 damage. This attack's damage isn't affected by Resistance. | [D][C][C] Lunatic Sense: 60+ damage. Turn 1 of your face-down Prize cards face up. If that Prize card is a Pokemon, this attack does 60 more damage. (That Prize card remains face up for the rest of the game.)
Aerodactyl-EX XYBSP 97	XYBSP	XYBSP_097	#097	Fighting	Basic (EX)	170	Lightning x2	Fighting -20	1	Promo	[F][C] Rock Smash: 30+ damage. Flip a coin. If heads, this attack does 30 more damage. | [F][C][C] Land Crush: 70 damage. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Mega Aerodactyl-EX XYBSP 98	XYBSP	XYBSP_098	#098	Fighting	Mega - Aerodactyl-EX	210	Lightning x2	Fighting -20	1	Promo	When 1 of your Pokemon becomes a Mega Evolution Pokemon, your turn ends. | [F][C][C] Rock Drill Dive: 110 damage. This attack does 10 damage to each Benched Pokemon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokemon.) | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Aerodactyl Spirit Link XYBSP 99	XYBSP	XYBSP_099	#099		Trainer - Item - Pokemon Tool					Promo	Attach a Pokemon Tool to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it. | Your turn does not end if the Pokemon this card is attached to becomes Mega Aerodactyl-EX. | You may play as many Item cards as you like during your turn (before your attack).
Mewtwo XYBSP 100	XYBSP	XYBSP_100	#100	Psychic	Basic	120	Psychic x2		2	Promo	[P][C] Psy Bolt: 20 damage. Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed. | [P][P][C][C] Zen Blade: 100 damage. This Pokemon can't use Zen Blade during your next turn.
Mewtwo XYBSP 101	XYBSP	XYBSP_101	#101	Psychic	Basic	120	Psychic x2		2	Promo	[P][C] Psy Bolt: 20 damage. Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed. | [P][P][C][C] Zen Blade: 100 damage. This Pokemon can't use Zen Blade during your next turn.
Aurorus-EX XYBSP 102	XYBSP	XYBSP_102	#102	Water	Basic (EX)	180	Metal x2		3	Promo	Ability: Frozen Charm. Each of your Pokemon that has any [W] Energy attached to it can't be Paralyzed. (If any of those Pokemon are Paralyzed, remove that Special Condition.) | [W][W][W][C] Crystal Breath: 160 damage. This Pokemon can't attack during your next turn. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Mawile-EX XYBSP 103	XYBSP	XYBSP_103	#103	Fairy	Basic (EX)	150	Metal x2	Darkness -20	2	Promo	[Y] Smack: 20 damage. | [Y][Y][Y] Wonder Bomb: 100 damage. Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokemon. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Mega Mawile-EX XYBSP 104	XYBSP	XYBSP_104	#104	Fairy	Mega - Mawile-EX	190	Metal x2	Darkness -20	2	Promo	When 1 of your Pokemon becomes a Mega Evolution Pokemon, your turn ends. | [Y][Y][Y] Twin Grapple: 130 damage. Flip 2 coins. For each heads, discard an Energy attached to your opponent's Active Pokemon. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Mawile Spirit Link XYBSP 105	XYBSP	XYBSP_105	#105		Trainer - Item - Pokemon Tool					Promo	Attach a Pokemon Tool to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it. | Your turn does not end if the Pokemon this card is attached to becomes Mega Mawile-EX. | You may play as many Item cards as you like during your turn (before your attack).
Gyarados-EX XYBSP 106	XYBSP	XYBSP_106	#106	Water	Basic (EX)	180	Lightning x2		4	Promo	[C] Stormy Seas: Flip a coin until you get tails. For each heads, search your deck for a [W] Energy card and attach it to this Pokemon. Shuffle your deck afterward. | [W][W][C][C] Splash Burn: 130 damage. This attack does 10 damage to each of your Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Mewtwo-EX XYBSP 107	XYBSP	XYBSP_107	#107	Psychic	Basic (EX)	170	Psychic x2		2	Promo	[P] Shatter Shot: 30x damage. This attack does 30 damage times the amount of [P] Energy attached to this Pokemon. | [P][P][C] Damage Change: Switch all damage counters on this Pokemon with those on your opponent's Active Pokemon. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Machamp-EX XYBSP 108	XYBSP	XYBSP_108	#108	Fighting	Basic (EX)	180	Psychic x2		3	Promo	[F][C] Steaming Mad: 20x damage. This attack does 20 damage times the number of damage counters on this Pokemon. This Pokemon is now Confused. | [F][F][C] Crazy Hammer: 80+ damage. If this Pokemon is affected by a Special Condition, this attack does 80 more damage. Then, remove all Special Conditions from this Pokemon. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Gyarados XYBSP 109	XYBSP	XYBSP_109	#109	Water	Stage 1 - Magikarp	130	Lightning x2		3	Promo	[W][C][C] Berserker Splash: 80 damage. This attack does 10 damage to each Benched Pokemon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokemon.) | [W][C][C][C] Aqua Tail: 90+ damage. Flip a coin for each [W] Energy attached to this Pokemon. This attack does 30 more damage for each heads.
Mew XYBSP 110	XYBSP	XYBSP_110	#110	Psychic	Basic	70	Psychic x2		1	Promo	[C] Clairvoyance: Your opponent reveals his or her hand. | [P][C][C] Psychic: 40+ damage. This attack does 10 more damage for each Energy attached to your opponent's Active Pokemon.
Celebi XYBSP 111	XYBSP	XYBSP_111	#111	Grass	Basic	70	Fire x2		1	Promo	[C] Time Call: Flip a coin. If heads, search your deck for a card that evolves from 1 of your Pokemon and put it onto that Pokemon. (This counts as evolving that Pokemon.) Shuffle your deck afterward. | [G] Leech Seed: 10 damage. Heal 10 damage from this Pokemon.
Jirachi XYBSP 112	XYBSP	XYBSP_112	#112	Metal	Basic	70	Fire x2	Psychic -20	1	Promo	[M] Precognitive Dream: Draw 3 cards. This Pokemon is now Asleep. | [C][C] Iron Head: 30x damage. Flip a coin until you get tails. This attack does 30 damage times the number of heads.
Manaphy XYBSP 113	XYBSP	XYBSP_113	#113	Water	Basic	70	Grass x2		1	Promo	[W] Marine Guidance: Search your deck for a [W] Pokemon, reveal it, and put it into your hand. Shuffle your deck afterward. | [W][W] Aqua Ring: 30 damage. Switch this Pokemon with 1 of your Benched Pokemon.
Darkrai XYBSP 114	XYBSP	XYBSP_114	#114	Darkness	Basic	110	Fighting x2	Psychic -20	2	Promo	[D][C] Dark Cutter: 30 damage. | [D][D][C] Abyssal Sleep: 80 damage. Your opponent's Active Pokemon is now Asleep. Your opponent flips 2 coins instead of 1 between turns. If either of them is tails, that Pokemon is still asleep.
Shaymin XYBSP 115	XYBSP	XYBSP_115	#115	Grass	Basic	70	Fire x2		1	Promo	[C][C] Aromatherapy: Heal 30 damage from each of your Pokemon. | [G][C][C] Magical Leaf: 40+ damage. Flip a coin. If heads, this attack does 20 more damage and heal 20 damage from this Pokemon.
Arceus XYBSP 116	XYBSP	XYBSP_116	#116	Colorless	Basic	130	Fighting x2		2	Promo	[C] Type Switch: Choose [G], [R], [W], [L], [P], [F], [D], [M], [Y], or [N] type. Until the end of your next turn, this Pokemon is that type. | [C][C][C][C] Power Blast: 120 damage. Discard an Energy attached to this Pokemon.
Victini XYBSP 117	XYBSP	XYBSP_117	#117	Fire	Basic	70	Water x2		1	Promo	[C] Energy Assist: Flip a coin. If heads, attach a basic Energy card from your discard pile to 1 of your Benched Pokemon. | [R][C] Victory Ball: 50 damage. Discard a [R] Energy attached to this Pokemon.
Keldeo XYBSP 118	XYBSP	XYBSP_118	#118	Water	Basic	90	Grass x2		1	Promo	Ability: Justified. This Pokemon's attacks do 50 more damage to your opponent's [D] Pokemon (before applying Weakness and Resistance). | [W][W][W] Sacred Sword: 100 damage. This Pokemon can't use Sacred Sword during your next turn.
Genesect XYBSP 119	XYBSP	XYBSP_119	#119	Metal	Basic	110	Fire x2	Psychic -20	2	Promo	[M][C] Linear Attack: This attack does 30 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | [M][M][M] Destructor Beam: 90 damage. Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokemon.
Meloetta XYBSP 120	XYBSP	XYBSP_120	#120	Psychic	Basic	80	Psychic x2		1	Promo	[P] Soprano Wave: Flip 3 coins. This attack does 10 damage times the number of heads to each of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | [P][P] Entrancing Melody: 30 damage. Your opponent's Active Pokemon is now Confused.
Charizard-EX XYBSP 121	XYBSP	XYBSP_121	#121	Fire	Basic (EX)	180	Water x2		2	Promo	[C][C][C] Wing Attack: 60 damage. | [R][R][C][C] Combustion Blast: 150 damage. This Pokemon can't use Combustion Blast during your next turn. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Blastoise-EX XYBSP 122	XYBSP	XYBSP_122	#122	Water	Basic (EX)	180	Grass x2		3	Promo	[C][C] Rapid Spin: 30 damage. Switch this Pokemon with 1 of your Benched Pokemon. Then, your opponent switches his or her Active Pokemon with 1 of his or her Benched Pokemon. | [W][W][W] Splash Bomb: 120 damage. Flip a coin. If tails, this Pokemon does 30 damage to itself. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Venusaur-EX XYBSP 123	XYBSP	XYBSP_123	#123	Grass	Basic (EX)	180	Fire x2		4	Promo	[G][C][C] Poison Powder: 60 damage. Your opponent's Active Pokemon is now Poisoned. | [G][G][C][C] Jungle Hammer: 90 damage. Heal 30 damage from this Pokemon. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Pikachu-EX XYBSP 124	XYBSP	XYBSP_124	#124	Lightning	Basic (EX)	130	Fighting x2	Metal -20	1	Promo	[C] Iron Tail: 30x damage. Flip a coin until you get tails. This attack does 30 damage times the number of heads. | [L][C][C] Overspark: 50x damage. Discard all [L] Energy attached to this Pokemon. This attack does 50 damage times the number of Energy cards you discarded. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Mewtwo-EX XYBSP 125	XYBSP	XYBSP_125	#125	Psychic	Basic (EX)	170	Psychic x2		2	Promo	[C][C] Photon Wave: 30 damage. During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 30 (before applying Weakness and Resistance). | [P][P][C][C] Psyburn: 120 damage. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Mew-EX XYBSP 126	XYBSP	XYBSP_126	#126	Psychic	Basic (EX)	120	Psychic x2		1	Promo	Ability: Versatile. This Pokemon can use the attacks of any Pokemon in play (both yours and your opponent's). (You still need the necessary Energy to use each attack.) | [P] Replace: Move as many Energy attached to your Pokemon to your other Pokemon in any way you like. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Moltres XYBSP 127	XYBSP	XYBSP_127	#127	Fire	Basic	120	Water x2	Fighting -20	1	Promo	[R] Combustion: 20 damage. | [R][R][C][C] Flying Flare: 80+ damage. You may do 40 more damage. If you do, this Pokemon does 20 damage to itself.
White Kyurem XYBSP 128	XYBSP	XYBSP_128	#128	Water	Basic	130	Metal x2		3	Promo	[W][C] Burning Icicles: 40 damage. If this Pokemon has any [R] Energy attached to it, this attack does 20 damage to 2 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | [W][W][C] Blizzard Burn: 130 damage. This Pokemon can't attack during your next turn.
Zygarde XYBSP 129	XYBSP	XYBSP_129	#129	Fighting	Basic	120	Grass x2		2	Promo	[F][C] Rumble: 30 damage. The Defending Pokemon can't retreat during your opponent's next turn. | [F][F][C] Geostrike: 120 damage. This attack does 10 damage to each of your Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)
Tyranitar XYBSP 130	XYBSP	XYBSP_130	#130	Darkness	Stage 2 - Pupitar	160	Fighting x2	Psychic -20	4	Promo	Ability: Raging Roar. When you play this Pokemon from your hand to evolve 1 of your Pokemon, you may attach 1 [D] Energy from your discard pile to this Pokemon for each Prize card your opponent has taken. | [D][D][D][D][D] Dark Mountain: 150+ damage. Discard the top 2 cards of your deck. This attack does 50 more damage for each Supporter card discarded in this way.
Pansear XYBSP 131	XYBSP	XYBSP_131	#131	Fire	Basic	60	Water x2		1	Promo	[C] Fury Swipes: 10x damage. Flip 3 coins. This attack does 10 damage times the number of heads.
Gastly XYBSP 132	XYBSP	XYBSP_132	#132	Psychic	Basic	50	Darkness x2	Fighting -20	1	Promo	[P] Sleep Poison: Flip a coin. If heads, your opponent's Active Pokemon is now Asleep and Poisoned.
Ash-Greninja-EX XYBSP 133	XYBSP	XYBSP_133	#133	Water	Basic (EX)	170	Grass x2		1	Promo	[W][C] Dancing Shuriken: Flip 3 coins. This attack does 20 damage times the number of heads to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | [W][W][C] Ninja Blade: 130 damage. This Pokemon can't use Ninja Blade during your next turn. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Empoleon BREAK XYBSP 134 	XYBSP	XYBSP_134.png	#134	Water	Break - Empoleon	170				Promo	Empoleon BREAK retains the attacks, Abilities, Weakness, Resistance, and Retreat Cost of its previous Evolution. | [W][C] Emperor's Command: 30x damage. This attack does 30 damage times the number of Pokemon your opponent has in play.
Beheeyem BREAK XYBSP 135 	XYBSP	XYBSP_135.png	#135	Psychic	Break - Beheeyem	130				Promo	Beheeyem BREAK retains the attacks, Abilities, Weakness, Resistance, and Retreat Cost of its previous Evolution. | [P][P][P] Cosmic Circle: 100 damage. Move as many [P] Energy attached to your Pokemon to your other Pokemon in any way you like.
Noctowl BREAK XYBSP 136 	XYBSP	XYBSP_136.png	#136	Colorless	Break - Noctowl	130				Promo	Noctowl BREAK retains the attacks, Abilities, Weakness, Resistance, and Retreat Cost of its previous Evolution. | [C][C][C] Night Scan: 60+ damage. Your opponent reveals his or her hand. This attack does 30 more damage for each Trainer card you find there.
Vivillon XYBSP 137	XYBSP	XYBSP_137	#137	Grass	Stage 2 - Spewpa	120	Fire x2		1	Promo	[C] Dizzying Poison: Your opponent's Active Pokemon is now Confused and Poisoned. | [G] Powder: 30+ damage. This attack does 30 more damage for each [R] Energy attached to your opponent's Active Pokemon.
Froakie XYBSP 138	XYBSP	XYBSP_138	#138	Water	Basic	60	Grass x2		1	Promo	[W] Bubble: Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.
Floette XYBSP 139	XYBSP	XYBSP_139	#139	Fairy	Stage 1 - Flabebe	70	Metal x2	Darkness -20	1	Promo	[Y] Aromatherapy: Heal 30 damage from each of your Pokemon. | [Y][Y] Magical Leaf: 20+ damage. Flip a coin. If heads, this attack does 20 more damage and heal 20 damage from this Pokemon.
Lucario XYBSP 140	XYBSP	XYBSP_140	#140	Fighting	Stage 1 - Riolu	100	Psychic x2		2	Promo	[F] Bone Rush: 30x damage. Flip a coin until you get tails. This attack does 30 damage times the number of heads. | [F][F][F] Mach Claw: 90 damage. This attack's damage isn't affected by Resistance.
Rayquaza XYBSP 141	XYBSP	XYBSP_141	#141	Dragon	Basic	120	Fairy x2		2	Promo	[R][C] Dual Claw: 20x damage. Flip 2 coins. This attack does 20 damage times the number of heads. | [R][L][C][C] Dragon Blast: 120 damage. Discard 1 [R] Energy and 1 [L] Energy attached to this Pokemon.
Azelf XYBSP 142	XYBSP	XYBSP_142	#142	Psychic	Basic	70	Psychic x2		1	Promo	[P] Shining Eyes: Put 2 damage counters on each of your opponent's Pokemon that has any damage counters on it. | [P][C][C] Mind Bend: 30 damage. Your opponent's Active Pokemon is now Confused.
Magikarp XYBSP 143	XYBSP	XYBSP_143	#143	Water	Basic	30	Lightning x2		1	Promo	[W] Epic Splash: 30 damage. Flip 2 coins. If either of them is tails, this attack does nothing.
Yanmega XYBSP 144	XYBSP	XYBSP_144	#144	Grass	Stage 1 - Yanma	110	Lightning x2	Fighting -20	0	Promo	Ability: Sonic Vision. If you have exactly 4 cards in your hand, ignore all Energy in the attack cost of each of this Pokemon's attacks. | [C][C][C] Assault Boom: 50+ damage. If your opponent's Active Pokemon has a Pokemon Tool card attached to it, this attack does 70 more damage.
Volcanion XYBSP 145	XYBSP	XYBSP_145	#145	Fire	Basic	130	Water x2		2	Promo	[R] Power Heater: 20 damage. Choose 2 of your Benched Pokemon. Attach a [R] Energy card from your discard pile to each of those Pokemon. | [R][R][R] Steam Artillery: 100 damage.
Clawitzer XYBSP 146	XYBSP	XYBSP_146	#146	Water	Stage 1 - Clauncher	100	Grass x2		2	Promo	Ability: Mega Boost. Once during your turn (before your attack), you may attach a Special Energy card from your hand to 1 of your Mega Evolution Pokemon. | [W][C][C] Crabhammer: 60 damage.
Hoopa XYBSP 147	XYBSP	XYBSP_147	#147	Psychic	Basic	130	Psychic x2		2	Promo	[C] Hyperspace Punch: This attack does 20 damage to 2 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | [P][P][P] Portal Strike: 130 damage. This Pokemon can't use Portal Strike during your next turn.
Shaymin-EX XYBSP 148	XYBSP	XYBSP_148	#148	Grass	Basic (EX)	110	Fire x2		2	Promo	Ability: Aroma of Gratitude. Once during your turn (before your attack), you may heal 20 damage from each of your Benched Basic Pokemon. | [G][C][C] Floral Gain: 60 damage. Heal 20 damage and remove all Special Conditions from this Pokemon. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Xerneas-EX XYBSP 149	XYBSP	XYBSP_149	#149	Fairy	Basic (EX)	170	Metal x2	Darkness -20	2	Promo	[Y][C][C] Break Through: 60 damage. This attack does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | [Y][Y][C][C] X Blast: 140 damage. This Pokemon can't use X Blast during your next turn. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Yveltal-EX XYBSP 150	XYBSP	XYBSP_150	#150	Darkness	Basic (EX)	170	Lightning x2	Fighting -20	2	Promo	[D][C] Evil Ball: 20+ damage. This attack does 20 more damage times the amount of Energy attached to both Active Pokemon. | [D][C][C] Y Cyclone: 90 damage. Move an Energy from this Pokemon to 1 of your Benched Pokemon. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Zygarde-EX XYBSP 151	XYBSP	XYBSP_151	#151	Fighting	Basic (EX)	190	Grass x2		3	Promo	[F] Land's Pulse: 20+ damage. If there is any Stadium card in play, this attack does 20 more damage. | [F][C] Cell Storm: 60 damage. Heal 30 damage from this Pokemon. | [F][F][C] Land's Wrath: 100 damage. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Zygarde XYBSP 152	XYBSP	XYBSP_152	#152	Fighting	Basic	120	Grass x2		2	Promo	[F][C] Rumble: 30 damage. The Defending Pokemon can't retreat during your opponent's next turn. | [F][F][C] Geostrike: 120 damage. This attack does 10 damage to each of your Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)
Ho-Oh XYBSP 153	XYBSP	XYBSP_153	#153	Fire	Basic	120	Water x2	Fighting -20	2	Promo	[C] Stoke: Flip a coin. If heads, search your deck for up to 2 [R] Energy cards and attach them to this Pokemon. Shuffle your deck afterward. | [R][R][C][C] Fire Wing: 100 damage.
Ho-Oh BREAK XYBSP 154 	XYBSP	XYBSP_154.png	#154	Fire	Break - Ho-Oh	150				Promo	Ho-Oh BREAK retains the attacks, Abilities, Weakness, Resistance, and Retreat Cost of its previous Evolution. | [R][R][R][C][C] Shining Flame: 160 damage. This Pokemon can't use Shining Flame during your next turn.
Wobbuffet BREAK XYBSP 155 	XYBSP	XYBSP_155.png	#155	Psychic	Break - Wobbuffet	140				Promo	Wobbuffet BREAK retains the attacks, Abilities, Weakness, Resistance, and Retreat Cost of its previous Evolution. | [P][C] Right Back at You: Discard all Energy attached to this Pokemon. During your opponent's next turn, if this Pokemon is damaged by an attack (even if this Pokemon is Knocked Out), put damage counters on the Attacking Pokemon equal to the damage done to this Pokemon.
Lugia XYBSP 156	XYBSP	XYBSP_156	#156	Colorless	Basic	120	Lightning x2	Fighting -20	2	Promo	[C][C] Gust: 30 damage. | [C][C][C][C] Aeroblast: 80+ damage. Flip 2 coins. This attack does 20 more damage for each heads.
Beedrill-EX XYBSP 157	XYBSP	XYBSP_157	#157	Grass	Basic (EX)	160	Fire x2		1	Promo	[C] Double Scrapper: Discard up to 2 Pokemon Tool cards attached to your opponent's Pokemon. | [G][C] Pin Missile: 40x damage. Flip 4 coins. This attack does 40 damage times the number of heads. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Mega Beedrill-EX XYBSP 158	XYBSP	XYBSP_158	#158	Grass	Mega - Beedrill-EX	200	Fire x2		0	Promo	When 1 of your Pokemon becomes a Mega Evolution Pokemon, your turn ends. | [G][G] Hazard Stinger: 40 damage. Discard all Energy attached to this Pokemon. Your opponent's Active Pokemon is now Paralyzed and Poisoned. Put 4 damage counters instead of 1 on that Pokemon between turns. | When a Pokemon-EX has been Knocked Out, your opponent takes 2 Prize cards.
Beedrill Spirit Link XYBSP 159	XYBSP	XYBSP_159	#159		Trainer - Item - Pokemon Tool					Promo	Attach a Pokemon Tool to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it. | Your turn does not end if the Pokemon this card is attached to becomes Mega Beedrill-EX. | You may play as many Item cards as you like during your turn (before your attack).
Black Kyurem XYBSP 160	XYBSP	XYBSP_160	#160	Water	Basic	130	Metal x2		3	Promo	[W][C][C] Ice Wing: 60 damage. | [W][W][C][C] Frosty Thunder: 120 damage. If this Pokemon has any [L] Energy attached to it, this attack does 20 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)
Braixen XYBSP 161	XYBSP	XYBSP_161	#161	Fire	Stage 1 - Fennekin	80	Water x2		1	Promo	[R] Destructive Flame: 20 damage. Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokemon. | [C][C] Crackling Ribbon: 30 damage.
Greninja XYBSP 162	XYBSP	XYBSP_162	#162	Water	Stage 2 - Frogadier	130	Grass x2		1	Promo	[W] Aqua Shower: This attack does 20 damage to each of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | [W][C] Dual Cut: 60x damage. Flip 2 coins. This attack does 60 damage times the number of heads.
Weezing XYBSP 163	XYBSP	XYBSP_163	#163	Psychic	Stage 1 - Koffing	100	Psychic x2		3	Promo	Ability: Levitate. If this Pokemon has any Energy attached to it, this Pokemon has no Retreat Cost. | [P] Smokescreen: 30 damage. If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.
Volcanion XYBSP 164	XYBSP	XYBSP_164	#164	Fire	Basic	130	Water x2		4	Promo	[R][C][C] Concentrated Fire: 50x damage. Flip a coin for each [R] Energy attached to this Pokemon. This attack does 50 damage times the number of heads. | [R][C][C][C] Combustion Impact: 100 damage. Your opponent switches his or her Active Pokemon with 1 of his or her Benched Pokemon.
